Entry	Entry Name	Gene Names	Length	Gene Ontology (cellular component)
P06780	RHO1_YEAST	RHO1 YPR165W P9325.3	209	1,3-beta-D-glucan synthase complex [GO:0000148]; cell periphery [GO:0071944]; cellular bud [GO:0005933]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endosome membrane [GO:0010008]; fungal-type cell wall [GO:0009277]; fungal-type vacuole membrane [GO:0000329]; Golgi apparatus [GO:0005794]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; plasma membrane [GO:0005886]; spore wall [GO:0031160]
P06781	RHO2_YEAST	RHO2 YNL090W N2237	192	cell periphery [GO:0071944]; cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P06782	SNF1_YEAST	SNF1 CAT1 CCR1 GLC2 PAS14 YDR477W D8035.20	633	cellular bud neck septin ring [GO:0000144]; cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nuclear envelope lumen [GO:0005641]; nuclear membrane [GO:0031965]; nucleotide-activated protein kinase complex [GO:0031588]; nucleus [GO:0005634]; vacuolar membrane [GO:0005774]
P06784	STE7_YEAST	STE7 YDL159W D1525	515	cytoplasm [GO:0005737]; mating projection tip [GO:0043332]
P06785	TYSY_YEAST	CDC21 CRT9 TMP1 YOR074C YOR29-25	304	cytosol [GO:0005829]; mitochondrion [GO:0005739]; nuclear periphery [GO:0034399]
P06786	TOP2_YEAST	TOP2 TOR3 YNL088W N2244	1428	DNA replication termination region [GO:0097047]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; synaptonemal complex [GO:0000795]
P06787	CALM_YEAST	CMD1 YBR109C YBR0904	147	actin cortical patch [GO:0030479]; cell tip [GO:0051286]; cellular bud [GO:0005933]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; central plaque of spindle pole body [GO:0005823]; cytoplasm [GO:0005737]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; myosin I complex [GO:0045160]; myosin V complex [GO:0031475]
P06838	RAD10_YEAST	RAD10 YML095C	210	endonuclease complex [GO:1905348]; nucleotide-excision repair factor 1 complex [GO:0000110]; nucleus [GO:0005634]
P06839	RAD3_YEAST	RAD3 REM1 YER171W	778	cytosol [GO:0005829]; nucleotide-excision repair factor 3 complex [GO:0000112]; nucleus [GO:0005634]; transcription factor TFIIH core complex [GO:0000439]; transcription factor TFIIH holo complex [GO:0005675]
P06843	SPT2_YEAST	SPT2 SIN1 SPM2 YER161C	333	cytosol [GO:0005829]; nucleus [GO:0005634]
P06844	SPT3_YEAST	SPT3 YDR392W D9509.12	337	cytosol [GO:0005829]; nucleus [GO:0005634]; SAGA complex [GO:0000124]; SLIK (SAGA-like) complex [GO:0046695]
P07143	CY1_YEAST	CYT1 CTC1 YOR065W YOR29-16	309	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; respiratory chain complex III [GO:0045275]
P07149	FAS1_YEAST	FAS1 YKL182W	2051	cytoplasm [GO:0005737]; cytosol [GO:0005829]; fatty acid synthase complex [GO:0005835]; lipid droplet [GO:0005811]; mitochondrion [GO:0005739]
P07170	KAD2_YEAST	ADK1 AKY AKY1 AKY2 YDR226W YD9934.11	222	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]
P07213	TOM70_YEAST	TOM70 MAS70 OMP1 YNL121C N1905	617	mitochondria-associated endoplasmic reticulum membrane contact site [GO:0044233]; mitochondrial outer membrane [GO:0005741]; mitochondrial outer membrane translocase complex [GO:0005742]; mitochondrion [GO:0005739]
P07244	PUR2_YEAST	ADE57 ADE5,7 YGL234W	802	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P07245	C1TC_YEAST	ADE3 YGR204W G7733	946	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P07246	ADH3_YEAST	ADH3 YMR083W YM9582.08	375	cytoplasm [GO:0005737]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P07248	ADR1_YEAST	ADR1 YDR216W YD8142.16 YD8142B.08	1323	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P07249	ARGR1_YEAST	ARG80 ARGR1 YMR042W YM9532.07	177	nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]
P07250	IPMK_YEAST	ARG82 ARGR3 GSL3 IPK2 YDR173C YD9395.06C	355	cytoplasm [GO:0005737]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]
P07251	ATPA_YEAST	ATP1 YBL099W YBL0827	545	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; proton-transporting ATP synthase complex [GO:0045259]
P07255	COX9_YEAST	COX9 YDL067C D2520	59	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]
P07256	QCR1_YEAST	COR1 QCR1 YBL045C YBL0403	457	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex III [GO:0045275]
P07257	QCR2_YEAST	QCR2 COR2 UCR2 YPR191W P9677.6	368	mitochondrial crista [GO:0030061]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex III [GO:0045275]
P07258	CARA_YEAST	CPA1 YOR303W	411	carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]
P07259	PYR1_YEAST	URA2 YJL130C J0686	2214	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]
P07260	IF4E_YEAST	CDC33 TIF45 YOL139C	213	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; eukaryotic translation initiation factor 4F complex [GO:0016281]; nucleus [GO:0005634]; ribosome [GO:0005840]
P07261	GCR1_YEAST	GCR1 SIT3 YPL075W LPF10W	785	nuclear envelope [GO:0005635]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]
P07263	SYH_YEAST	HTS1 YPR033C YP9367.13C	546	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]
P07264	LEUC_YEAST	LEU1 YGL009C	779	3-isopropylmalate dehydratase complex [GO:0009316]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]
P07267	CARP_YEAST	PEP4 PHO9 PRA1 YPL154C P2585	405	endoplasmic reticulum [GO:0005783]; fungal-type vacuole [GO:0000324]; mitochondrion [GO:0005739]; protein-containing complex [GO:0032991]
P07269	PHO2_YEAST	PHO2 BAS2 GRF10 YDL106C D2350	559	cytosol [GO:0005829]; nucleus [GO:0005634]
P07270	PHO4_YEAST	PHO4 YFR034C	312	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P07271	PIF1_YEAST	PIF1 TST1 YML061C YM9958.01C	859	mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; nuclear replication fork [GO:0043596]; nucleolus [GO:0005730]; replication fork [GO:0005657]; site of double-strand break [GO:0035861]
P07272	PPR1_YEAST	PPR1 YLR014C	904	nucleus [GO:0005634]
P07273	TFS2_YEAST	DST1 PPR2 YGL043W	309	nucleus [GO:0005634]
P07274	PROF_YEAST	PFY1 CLS5 PFY PRF1 YOR122C O3275 YOR3275C	126	cell cortex [GO:0005938]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]
P07276	RAD2_YEAST	RAD2 YGR258C	1031	nucleotide-excision repair factor 3 complex [GO:0000112]; nucleus [GO:0005634]
P07277	ERG12_YEAST	ERG12 RAR1 YMR208W YM8261.02	443	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P07278	KAPR_YEAST	BCY1 REG1 SRA1 YIL033C	416	cAMP-dependent protein kinase complex [GO:0005952]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P07280	RS19A_YEAST	RPS19A RP55A RPS16AA YOL121C	144	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]
P07281	RS19B_YEAST	RPS19B RP55B RPS16AB YNL302C N0422	144	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]
P07283	PMM_YEAST	SEC53 ALG4 YFL045C	254	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; membrane [GO:0016020]
P07284	SYSC_YEAST	SES1 SERS YDR023W YD9813.01	462	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]
P07286	GPT_YEAST	ALG7 TUR1 YBR243C YBR1628	448	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; UDP-N-acetylglucosamine transferase complex [GO:0043541]
P07342	ILVB_YEAST	ILV2 SMR1 YMR108W YM9718.07	687	acetolactate synthase complex [GO:0005948]; mitochondrion [GO:0005739]
P07347	ARD1_YEAST	ARD1 YHR013C	238	NatA complex [GO:0031415]
P07560	SEC4_YEAST	SEC4 SRO6 YFL005W	215	cellular bud neck [GO:0005935]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; transport vesicle [GO:0030133]; transport vesicle membrane [GO:0030658]; vesicle [GO:0031982]
P07702	LYS2_YEAST	LYS2 YBR115C YBR0910	1392	cytoplasm [GO:0005737]
P07703	RPAC1_YEAST	RPC40 RPC5 YPR110C P8283.18	335	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase I complex [GO:0005736]; RNA polymerase III complex [GO:0005666]
P07834	CDC4_YEAST	CDC4 YFL009W	779	90S preribosome [GO:0030686]; nuclear matrix [GO:0016363]; nuclear SCF ubiquitin ligase complex [GO:0043224]; nucleolus [GO:0005730]; nucleus [GO:0005634]; SCF ubiquitin ligase complex [GO:0019005]
P07866	LTE1_YEAST	LTE1 EIS4 MSI2 YAL024C	1435	cellular bud [GO:0005933]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P07884	MOD5_YEAST	MOD5 YOR274W	428	cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]
P07991	OAT_YEAST	CAR2 CARGB YLR438W L9753.2	424	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P08004	CHS1_YEAST	CHS1 YNL192W N1404	1131	cell periphery [GO:0071944]; cell septum [GO:0030428]; chitosome [GO:0045009]; plasma membrane [GO:0005886]
P08018	PBS2_YEAST	PBS2 HOG4 SFS4 SSK4 YJL128C J0699	668	cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; NatB complex [GO:0031416]
P08067	UCRI_YEAST	RIP1 YEL024W	215	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex III [GO:0045275]
P08153	SWI5_YEAST	SWI5 YDR146C YD8358.03C	709	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P08417	FUMH_YEAST	FUM1 YPL262W	488	cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
P08425	SYFM_YEAST	MSF1 YPR047W YP9499.05	469	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P08432	DCOR_YEAST	SPE1 ORD1 YKL184W	466	cytoplasm [GO:0005737]
P08456	PSS_YEAST	CHO1 PSS1 YER026C	276	endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]
P08458	SPS1_YEAST	SPS1 YDR523C D9719.27	490	cytoplasm [GO:0005737]; nucleus [GO:0005634]; prospore membrane [GO:0005628]
P08466	NUC1_YEAST	NUC1 YJL208C HRE329 J0310	329	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
P08518	RPB2_YEAST	RPB2 RPB150 RPO22 YOR151C	1224	cytoplasmic stress granule [GO:0010494]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; RNA polymerase II, core complex [GO:0005665]
P08524	ERG20_YEAST	ERG20 BOT3 FDS1 FPP1 YJL167W J0525	352	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; vacuole [GO:0005773]
P08525	QCR8_YEAST	QCR8 YJL166W J0526	94	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex III [GO:0045275]
P08536	MET3_YEAST	MET3 YJR010W J1436	511	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
P08539	GPA1_YEAST	GPA1 CDC70 DAC1 SCG1 YHR005C	472	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; endosome membrane [GO:0010008]; heterotrimeric G-protein complex [GO:0005834]; plasma membrane [GO:0005886]
P08566	ARO1_YEAST	ARO1 AROM YDR127W YD9302.02	1588	cytoplasm [GO:0005737]
P08638	LEUR_YEAST	LEU3 YLR451W L9324.1	886	nucleus [GO:0005634]
P08640	FLO11_YEAST	FLO11 MAL5 MUC1 S1 S2 YIR019C	1367	cellular bud neck [GO:0005935]; extracellular region [GO:0005576]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]; side of membrane [GO:0098552]
P08678	CYAA_YEAST	CYR1 CDC35 HSR1 SRA4 YJL005W J1401	2026	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
P08679	CISY2_YEAST	CIT2 YCR005C YCR043 YCR5C	460	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]
P08964	MYO1_YEAST	MYO1 YHR023W	1928	cellular bud neck [GO:0005935]; cellular bud neck contractile ring [GO:0000142]; cytoplasm [GO:0005737]; incipient cellular bud site [GO:0000131]; mitotic actomyosin contractile ring [GO:0110085]; myosin filament [GO:0032982]; myosin II complex [GO:0016460]
P09032	EI2BG_YEAST	GCD1 TIF223 TRA3 YOR260W	578	cytosol [GO:0005829]; eukaryotic translation initiation factor 2B complex [GO:0005851]; guanyl-nucleotide exchange factor complex [GO:0032045]
P09064	IF2B_YEAST	SUI3 TIF212 YPL237W	285	cytosol [GO:0005829]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic translation initiation factor 2 complex [GO:0005850]; multi-eIF complex [GO:0043614]; ribosome [GO:0005840]
P09119	CDC6_YEAST	CDC6 YJL194W J0347	513	chromosome [GO:0005694]; cytoplasm [GO:0005737]; DNA replication preinitiation complex [GO:0031261]; nuclear pre-replicative complex [GO:0005656]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P09201	F16P_YEAST	FBP1 YLR377C L8039.18	348	cytoplasm [GO:0005737]; cytosol [GO:0005829]; periplasmic space [GO:0042597]
P09232	PRTB_YEAST	PRB1 YEL060C	635	extracellular space [GO:0005615]; fungal-type vacuole [GO:0000324]; fungal-type vacuole lumen [GO:0000328]
P09435	HSP73_YEAST	SSA3 YBL075C YBL06.07 YBL0610	649	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P09440	C1TM_YEAST	MIS1 YBR084W YBR0751	975	cytosol [GO:0005829]; mitochondrion [GO:0005739]
P09547	SWI1_YEAST	SWI1 ADR6 GAM3 YPL016W LPA1	1314	chromatin [GO:0000785]; nucleus [GO:0005634]; SWI/SNF complex [GO:0016514]
P09620	KEX1_YEAST	KEX1 YGL203C	729	fungal-type vacuole [GO:0000324]; trans-Golgi network [GO:0005802]
P09624	DLDH_YEAST	LPD1 DHLP1 YFL018C	499	glycine cleavage complex [GO:0005960]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; oxoglutarate dehydrogenase complex [GO:0045252]; pyruvate dehydrogenase complex [GO:0045254]
P09733	TBA1_YEAST	TUB1 YML085C	447	cytoplasm [GO:0005737]; microtubule [GO:0005874]; nuclear periphery [GO:0034399]; nucleus [GO:0005634]; spindle [GO:0005819]; tubulin complex [GO:0045298]
P09734	TBA3_YEAST	TUB3 YML124C YM7056.02C	445	cytoplasm [GO:0005737]; microtubule [GO:0005874]; nucleus [GO:0005634]; spindle [GO:0005819]; tubulin complex [GO:0045298]
P09798	CDC16_YEAST	CDC16 YKL022C	840	anaphase-promoting complex [GO:0005680]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P09880	TRNL_YEAST	TRL1 RLG1 YJL087C J0927	827	cytoplasm [GO:0005737]; nuclear inner membrane [GO:0005637]; nucleus [GO:0005634]
P09938	RIR2_YEAST	RNR2 CRT6 YJL026W J1271	399	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ribonucleoside-diphosphate reductase complex [GO:0005971]
P09950	HEM1_YEAST	HEM1 CYD1 YDR232W YD9934.16	548	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P09959	SWI6_YEAST	SWI6 YLR182W L9470.8	803	cytoplasm [GO:0005737]; MBF transcription complex [GO:0030907]; nucleus [GO:0005634]; SBF transcription complex [GO:0033309]
P0C0T4	RS25B_YEAST	RPS25B RPS31 RPS31B YLR333C L8300.10	108	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]
P0C0V8	RS21A_YEAST	RPS21A RPS25 RPS25A RPS26A YKR057W	87	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]
P0C0W9	RL11A_YEAST	RPL11A RP39A RPL16A YPR102C P8283.14	174	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleus [GO:0005634]
P0C0X0	RS28B_YEAST	RPS28B RPS33B YLR264W L8479.5	67	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]
P0C2I2	YD14B_YEAST	TY1B-DR5 YDRWTy1-4 POL YDR316W-B D9740.1	1755	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P0C2I3	YD15B_YEAST	TY1B-DR6 YDRWTy1-5 POL YDR365W-B D9481.12	1755	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P0C2I5	YL12B_YEAST	TY1B-LR2 YLRCTy1-2 POL YLR157C-B L9632.7	1755	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P0C2I6	YL13B_YEAST	TY1B-LR3 YLRWTy1-3 POL YLR227W-B L8083.11	1755	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P0C2I7	YL14B_YEAST	TY1B-LR4 YLRWTy1-4 POL YLR256W-B/YLR256W-C	1755	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P0C2I9	YP12B_YEAST	TY1B-PR1 YPRCTy1-2 POL YPR137C-B P9659.6c	1755	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P0C2J0	YP13B_YEAST	TY1B-PR2 YPRWTy1-3 POL YPR158W-B P9584.3c	1756	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P0C2J1	YP14B_YEAST	TY1B-PR3 YPRCTy1-4 POL YPR158C-D P9584.3	1755	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P0C2J3	YL21B_YEAST	TY2B-LR1 YLRWTy2-1 POL YLR410W-B L9931.7b	1770	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P0C2J5	YL22B_YEAST	TY2B-LR2 YLRCTy2-2 POL YLR424C-A L9576.6c	1598	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P0C2J7	YH41B_YEAST	TY4B-H YHLWTy4-1 POL YHL009W-B YHL008W-A	1802	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P0C5R9	RNK_YEAST	YPR170W-B	85	endoplasmic reticulum membrane [GO:0005789]; fungal-type vacuole membrane [GO:0000329]; Golgi membrane [GO:0000139]; proton-transporting V-type ATPase complex [GO:0033176]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]; vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]
P0CD91	AQY1_YEAST	AQY1 AQY1-2 YPR192W P9677.5	305	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; plasma membrane [GO:0005886]
P0CE41	HAP1_YEAST	HAP1 CYP1 YLR256W L9672.1	1502	mitochondrion [GO:0005739]; nucleus [GO:0005634]; transcription repressor complex [GO:0017053]
P0CG63	UBI4P_YEAST	UBI4 SCD2 YLL039C	381	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; peroxisome [GO:0005777]
P0CH08	RL40A_YEAST	RPL40A UBI1 YIL148W	128	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleus [GO:0005634]
P0CH09	RL40B_YEAST	RPL40B UBI2 YKR094C	128	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
P0CS90	HSP77_YEAST	SSC1 ENS1 YJR045C J1639	654	cytoplasm [GO:0005737]; endodeoxyribonuclease complex [GO:1905347]; mitochondrial inner membrane [GO:0005743]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; PAM complex, Tim23 associated import motor [GO:0001405]; TIM23 mitochondrial import inner membrane translocase complex [GO:0005744]
P0CT04	IPB2_YEAST	PBI2 YNL015W N2844	75	cytoplasm [GO:0005737]; cytosol [GO:0005829]; fungal-type vacuole [GO:0000324]; membrane fusion priming complex [GO:0120124]; nucleus [GO:0005634]
P0CX25	RL43A_YEAST	RPL43A YPR043W YP9499.02	92	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
P0CX27	RL44A_YEAST	RPL42A RPL41A SCL41A YNL162W N1722	106	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
P0CX28	RL44B_YEAST	RPL42B MAK18 RPL41B SCL41B YHR141C	106	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
P0CX29	RS23A_YEAST	RPS23A RPS28A YGR118W G6178	145	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; ribosome [GO:0005840]
P0CX30	RS23B_YEAST	RPS23B RPS28B YPR132W P9659.9	145	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; ribosome [GO:0005840]
P0CX31	RS24A_YEAST	RPS24A RPS24EA YER074W	135	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; mitochondrion [GO:0005739]
P0CX32	RS24B_YEAST	RPS24B RPS24EB YIL069C	135	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]
P0CX35	RS4A_YEAST	RPS4A RPS7B YJR145C J2186	261	90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]
P0CX36	RS4B_YEAST	RPS4B RPS7A YHR203C	261	90S preribosome [GO:0030686]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]
P0CX37	RS6A_YEAST	RPS6A RPS101 RPS10B YPL090C LPG18C	236	90S preribosome [GO:0030686]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]
P0CX38	RS6B_YEAST	RPS6B RPS102 RPS10A YBR181C YBR1244	236	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; small-subunit processome [GO:0032040]
P0CX41	RL23A_YEAST	RPL23A RPL17A RPL17AA YBL087C YBL0713	137	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
P0CX42	RL23B_YEAST	RPL23B RPL17AB RPL17B YER117W	137	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleus [GO:0005634]
P0CX43	RL1A_YEAST	RPL1A SSM1 SSM1A YPL220W	217	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
P0CX44	RL1B_YEAST	RPL1B SSM1B SSM2 YGL135W G2834	217	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
P0CX45	RL2A_YEAST	RPL2A RPL5B YFR031C-A YFR031BC	254	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
P0CX46	RL2B_YEAST	RPL2B RPL5A YIL018W	254	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
P0CX47	RS11A_YEAST	RPS11A RPS18A YDR025W YD9813.03	156	90S preribosome [GO:0030686]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]
